movieId;title;genres
58627;Never Back Down (2008);Action
58652;CJ7 (Cheung Gong 7 hou) (2008);Children|Comedy|Sci-Fi
58709;Tropical Malady (Sud pralad) (2004);Drama|Fantasy|Romance
58783;Youth Without Youth (2007);Drama|Romance|Sci-Fi
58803;21 (2008);Crime|Drama|Romance|Thriller
58806;Smart People (2008);Comedy|Drama|Romance
58816;Gymnast, The (2006);Drama|Romance
58839;Leatherheads (2008);Comedy|Drama|Romance
58870;Zebraman (2004);Comedy
58876;Stop-Loss (2008);Drama|War
58879;Shine a Light (2008);Documentary|Musical|IMAX
58881;Dark Matter (2007);Drama
58889;Business of Being Born, The (2008);Documentary
58937;Julia (2008);Drama|Thriller
58972;Nim's Island (2008);Adventure|Comedy|Fantasy
58975;Ruins, The (2008);Horror|Thriller
58998;Forgetting Sarah Marshall (2008);Comedy|Romance
59000;Sex and Death 101 (2007);Comedy|Drama
59014;Superhero Movie (2008);Action|Comedy|Sci-Fi
59016;Street Kings (2008);Crime|Drama|Thriller
59018;Visitor, The (2007);Drama|Romance
59022;Harold & Kumar Escape from Guantanamo Bay (2008);Adventure|Comedy
59026;99 francs (2007);Comedy
59037;Speed Racer (2008);Action|Children|Sci-Fi|IMAX
59040;Gabriel (2007);Action|Horror
59053;Nathalie... (2003);Drama
59103;Forbidden Kingdom, The (2008);Action|Adventure|Comedy|Fantasy
59105;Where in the World Is Osama Bin Laden? (2008);Documentary
59107;Life Before Her Eyes, The (2007);Drama|Thriller
59118;Happy-Go-Lucky (2008);Comedy|Drama
59126;Religulous (2008);Comedy|Documentary
59129;Outpost (2008);Action|Horror
59141;Son of Rambow (2007);Children|Comedy|Drama
59143;Super High Me (2007);Comedy|Documentary
59159;Murders in the Rue Morgue (1932);Crime|Horror|Mystery
59173;Killer Elite, The (1975);Action|Drama|Thriller
59188;Viva Zapata! (1952);Western
59256;Deception (2008);Action|Drama|Thriller
59258;Baby Mama (2008);Comedy
59273;Delirious (2006);Comedy|Drama
59290;Klimt (2006);Drama
59306;Prom Night (2008);Horror|Mystery|Thriller
59315;Iron Man (2008);Action|Adventure|Sci-Fi
59333;Made of Honor (2008);Comedy|Romance
59336;Redbelt (2008);Action|Drama
59362;Anamorph (2007);Crime|Thriller
59369;Taken (2008);Action|Crime|Drama|Thriller
59387;Fall, The (2006);Adventure|Drama|Fantasy
59392;Stargate: The Ark of Truth (2008);Action|Fantasy|Sci-Fi
59404;Meet Bill (2007);Comedy|Drama
59418;American Crime, An (2007);Crime
59421;What Happens in Vegas... (2008);Comedy|Romance
59429;American Pie Presents Beta House (American Pie 6: Beta House) (2007);Comedy
59463;Man Between, The (1953);Drama|Film-Noir|Romance|Thriller
59485;a/k/a Tommy Chong (2005);Documentary
59501;Chronicles of Narnia: Prince Caspian, The (2008);Adventure|Children|Fantasy
59527;Window, The (1949);Drama|Film-Noir|Thriller
59590;Young at Heart (a.k.a. Young@Heart) (2007);Documentary|Musical
59594;War, Inc. (2008);Comedy|Crime|Thriller
59604;Girl Next Door, The (2007);Crime|Drama|Horror|Thriller
59615;Indiana Jones and the Kingdom of the Crystal Skull (2008);Action|Adventure|Comedy|Sci-Fi
59621;How to Rob a Bank (2007);Comedy|Crime|Mystery|Thriller
59684;Lake of Fire (2006);Documentary
59709;Oxford Murders, The (2007);Crime|Mystery|Romance|Thriller
59721;Grand, The (2007);Comedy
59725;Sex and the City (2008);Comedy|Romance
59727;Strangers, The (2008);Horror|Thriller
59731;Bigger, Stronger, Faster* (2008);Documentary
59738;All the Boys Love Mandy Lane (2006);Horror|Mystery|Thriller
59784;Kung Fu Panda (2008);Action|Animation|Children|Comedy|IMAX
59810;Recount (2008);Drama
59832;Where the Sidewalk Ends (1950);Crime|Drama|Film-Noir
59838;Chato's Land (1972);Western
59850;St. Ives (1976);Crime|Mystery|Thriller
59900;You Don't Mess with the Zohan (2008);Comedy
59908;Promotion, The (2008);Comedy
59910;And When Did You Last See Your Father? (2007);Drama
59912;My Brother Is an Only Child (Mio fratello 칟 figlio unico) (2006);Comedy|Crime|Drama
59942;Lost World, The (1960);Adventure
59960;Warlock (1959);Romance|Western
59976;Posto, Il (1961);Drama
59985;Chaos Theory (2007);Comedy|Drama|Romance
59995;Boy A (2007);Crime|Drama
60020;Warlords, The (Tau ming chong) (2007);Action|Drama|War
60037;Happening, The (2008);Drama|Sci-Fi|Thriller
60040;Incredible Hulk, The (2008);Action|Sci-Fi
60044;Baghead (2008);Comedy|Drama|Horror
60046;Children of Huang Shi, The (2008);Drama|War
60069;WALL췅E (2008);Adventure|Animation|Children|Romance|Sci-Fi
60072;Wanted (2008);Action|Thriller
60074;Hancock (2008);Action|Adventure|Comedy|Crime|Fantasy
60103;Angel Face (1952);Crime|Drama|Film-Noir
60126;Get Smart (2008);Action|Comedy
60133;Brick Lane (2007);Drama
60137;Rape of Europa, The (2006);Documentary
60147;Roman de gare (2007);Drama
60161;Futurama: The Beast with a Billion Backs (2008);Action|Animation|Comedy|Romance|Sci-Fi
60227;Unholy Three, The (1925);Crime|Drama|Romance
60243;Pocket Money (1972);Comedy|Western
60291;Gonzo: The Life and Work of Dr. Hunter S. Thompson (2008);Documentary
60293;Wackness, The (2008);Comedy|Drama|Romance
60295;Up the Yangtze (2007);Documentary
60311;Black Swan, The (1942);Adventure
60314;Cheyenne Autumn (1964);Western
60316;Hour of the Gun (1967);Western
60333;Encounters at the End of the World (2008);Documentary
60338;Dante 01 (2008);Sci-Fi|Thriller
60363;Zombie Strippers! (2008);Comedy|Horror
60382;Roman Polanski: Wanted and Desired (2008);Documentary
60397;Mamma Mia! (2008);Comedy|Musical|Romance
60436;Honeydripper (2007);Drama
60471;Rogue (2007);Action|Adventure|Horror|Thriller
60482;Towelhead (a.k.a. Nothing is Private) (2007);Drama
60487;It's the Great Pumpkin, Charlie Brown (1966);Animation|Children|Comedy
60503;Katyn (2007);Drama|War
60514;Journey to the Center of the Earth (2008);Action|Adventure|Sci-Fi
60516;Meet Dave (2008);Adventure|Children|Comedy|Romance|Sci-Fi
60526;Death Defying Acts (2007);Drama|Romance|Thriller
60530;Water Lilies (Naissance des pieuvres) (2007);Drama
60551;Breath (Soom) (2007);Drama
60566;Just Another Love Story (K칝rlighed p친 film) (2007);Crime|Drama|Thriller
60579;Next Door (Naboer) (2005);Horror|Mystery|Thriller
60609;Death Note (2006);Adventure|Crime|Drama|Horror|Mystery
60647;Transsiberian (2008);Crime|Drama|Thriller
60674;Stargate: Continuum (2008);Sci-Fi
60684;Watchmen (2009);Action|Drama|Mystery|Sci-Fi|Thriller|IMAX
60688;Conspiracy (2008);Action|Drama|Mystery|Thriller|War
60735;Shotgun Stories (2007);Drama|Thriller
60753;Felon (2008);Crime|Drama
60756;Step Brothers (2008);Comedy
60758;Brideshead Revisited (2008);Drama
60760;X-Files: I Want to Believe, The (2008);Drama|Mystery|Sci-Fi|Thriller
60766;Man on Wire (2008);Documentary
60816;Colour of Magic, The (Terry Pratchett's The Colour of Magic) (2008);Adventure|Comedy|Fantasy
60825;Mulberry Street (2006);Action|Horror|Thriller
60832;Pathology (2008);Crime|Horror|Thriller
60894;Edge of Love, The (2008);Drama|Romance|War
60904;Heart of a Dog (Sobachye serdtse) (1988);Comedy|Drama|Sci-Fi
60937;Mummy: Tomb of the Dragon Emperor, The (2008);Action|Adventure|Fantasy|Thriller
60939;Swing Vote (2008);Comedy|Drama
60941;Midnight Meat Train, The (2008);Horror|Mystery|Thriller
60943;Frozen River (2008);Drama
60948;Bottle Shock (2008);Drama
60950;Vicky Cristina Barcelona (2008);Comedy|Drama|Romance
60979;Batman: Gotham Knight (2008);Action|Animation|Crime
61004;Year of the Gun (1991);Action|Romance|Thriller
61011;Walker, The (2007);Drama|Mystery
61024;Pineapple Express (2008);Action|Comedy|Crime
61026;Red Cliff (Chi bi) (2008);Action|Adventure|Drama|War
